,chain,aura_bribes,bal_bribes,pool_total,fees_taken
B-wstETH-WETH-Stable,arbitrum,962.3416480178248514026663762,1810.738351982175148597333624,5546.16,2773.080
RDNT-WETH,arbitrum,4863.261265433249911808766237,9150.693734566750088191233763,28027.91,14013.955
B-rETH-STABLE,mainnet,4766.356638883529957279621546,8968.358361116470042720378454,27469.43,13734.715
20WETH-80ALCX,mainnet,331.0491637913814303934879591,622.9008362086185696065120409,1907.90,953.950
B-staFiETH-WETH-Stable,mainnet,717.2951667743747622610953451,1349.659833225625237738904655,4133.91,2066.955
ankrETH/wstETH,mainnet,1350.838139839003736576109256,2541.731860160996263423890744,7785.14,3892.570
50wstETH-50LDO,mainnet,153.8071176518456562342867009,289.4028823481543437657132991,886.42,443.210
50rETH-50BADGER,mainnet,1465.049147014832178902018185,2756.630852985167821097981815,8443.36,4221.680
50rETH-50RPL,mainnet,301.1594793452871040663312759,566.6605206547128959336687241,1735.64,867.820
50STG-50bbaUSD,mainnet,6625.194483545651998674125214,12465.94051645434800132587479,38182.27,19091.135
wbETH-wstETH,mainnet,277.7592538466206646812137194,522.6307461533793353187862806,1600.78,800.390
50wstETH-50ACX,mainnet,110.5376957876720688883964067,207.9873042123279311116035933,637.05,318.525
