recipientGaugeAddr,pool,symbol,voteWeight,distribution,%distribution,boost,staticBoost,dynamicBoost,cap,bonus
0x2eB5661002b68EBE887d29d415c3A3b52536912C,0x4a2f6ae7f3e5d715689530873ec35593dc28951b,wstETH/rETH/cbETH,1.3888124178058616,34000.0,20.0,1.7587734924833534,1.75,1.0087734924833531,20%,0.0
0xd6B875d62c2661eaB66472F36c672e4B512f1135,0xade4a71bb62bec25154cfc7e6ff49a513b491e81,rETH-WETH-BPT,1.1084079365265873,31272.61857187894,18.3956579834582,1.754862829986961,1.75,1.004862829986961,20%,0.0
0xa14453084318277b11d38FbE05D857A4f647442B,0x423a1323c871abc9d89eb06855bf5347048fc4a5,4POOL-BPT,0.28336207601979535,23232.487251122322,11.616243625561161,1.008938488735569,1.0,1.008938488735569,10%,15000.0
0x82d2c7B67Eaa5028c89BE86CeA8e1DF5bd2119A1,0xc7fa3a3527435720f0e2a4c1378335324dd4f9b3,55auraBal-45wsteth,0.8242471160923,17000.0,10.0,1.0062215216488744,1.0,1.0062215216488741,10%,0.0
0xd956246EA5b06DEa930F0A7feC1FFf000436e3f2,0x8bc65eed474d1a00555825c91feab6a8255c2107,DOLA/USDC BPT,1.1049064992822215,17000.0,10.0,1.0009089049796875,1.0,1.0009089049796878,10%,0.0
0xcf9f895296F5e1D66a7D4dcf1d92e1B435E9f999,0x32df62dc3aed2cd6224193052ce665dc18165841,RDNT-WETH,2.6053507822805733,17000.0,10.0,2.6038749861249304,1.5,2.1038749861249304,10%,0.0
0xfC745035F31BCbaEb2D1a89aA9171495c671F6cE,0x3fd4954a851ead144c2ff72b1f5a38ea5976bd54,ankrETH/wstETH-BPT,0.48850666643091595,14801.283907160421,8.706637592447306,1.7624873807140218,1.75,1.0124873807140218,20%,0.0
0x260cbb867359a1084eC97de4157d06ca74e89415,0x9791d590788598535278552eecd4b211bfc790cb,wstETH-WETH-BPT,0.604429656419396,14315.420651078357,8.420835677104915,1.7810740363750903,1.75,1.0310740363750903,20%,0.0
0xa14453084318277b11d38FBE05d857a4F647442c,0x423A1323c871aBC9d89EB06855bF5347048Fc4A5,POOL_WITH_BONUS,0.0,15000.0,7.5,1.0,1.0,1.0,10%,15000.0
0x011417BBED6FC9cefF36C032D431b0eFcBA7f8B3,0xc9f52540976385a84bf416903e1ca3983c539e34,50tBTC-50WETH,0.3749197795356072,9045.903818696706,5.321119893351003,1.0111164209595462,1.0,1.0111164209595462,10%,0.0
0xb438c6cc53315FfA3fcD1bc8b27d6c3155b0B56A,0x542f16da0efb162d20bf4358efa095b70a100f9e,2BTC,0.19174044453196917,4671.729603388336,2.7480762372872567,1.0296073285087433,1.0,1.0296073285087433,10%,0.0
0x04fc019017eD3F921D5ec11fFf84B870744BA0d1,0xa231aea07bb5e79ae162f95903806fc5ad65ff11,50DFX-50WETH,0.09364206976848329,2660.556196674918,1.565033056867599,1.000265346175163,1.0,1.000265346175163,10%,0.0
