,chain,aura_bribes,bal_bribes,pool_fees_collected,revenue_fees
wstETH/rETH/cbETH,arbitrum,461.0075856002473217820368789,698.0889275897676275761375100,1981.51,990.755
4POOL-BPT,arbitrum,110.6947727504487351720028294,167.6215264409140198759786556,475.79,237.895
RDNT-WETH,arbitrum,2643.320167070741990333593534,4002.694528993949203770831786,11361.56,5680.780
wstETH/rETH/sfrxETH,arbitrum,0.004653093707326708639189677356,0.007046029821598353049705906205,0.02,0.010
sAVAX-WAVAX-BPT,avalanche,1021.000325283208523062752461,1546.067883498567257229915192,2462.77,1231.385
ggAVAX-WAVAX-BPT,avalanche,173.6650341936665016672230886,262.9753636748660346088394264,418.90,209.450
yyAVAX-WAVAX-BPT,avalanche,328.1767511761909828593310980,496.9474764502839651381171876,791.60,395.800
USDC-USDT-BPT,avalanche,50.74799913021417156620858980,76.84605936366758485669141605,122.41,61.205
BPT,avalanche,0E+6,0E+6,0.00,0.000
rETH-WETH-BPT,base,0E+7,0E+7,0.00,0.000
cbETH/WETH,base,10899.47676332918107271777908,16504.72634868934255783656596,1847.83,923.915
bb-WETH-wstETH,gnosis,118.0779216804299421280180596,178.8015908905159008934934359,3343.47,1671.735
B-rETH-STABLE,mainnet,5074.665529169307521443820440,7684.402443230994893096146495,15797.35,7898.675
swETH-WETH-BPT,mainnet,1770.192492521201507943920216,2680.545434241809913561310154,5510.58,2755.290
ECLP-wstETH-cbETH,mainnet,0E+6,0E+6,0.00,0.000
20WETH-80ALCX,mainnet,664.9183999542306939129749640,1006.864501273629546051828421,2069.88,1034.940
B-staFiETH-WETH-Stable,mainnet,389.4559687288686621346519880,589.7406204268412916434069720,1212.37,606.185
GHO/USDT/USDC,mainnet,0E+6,0E+6,0.00,0.000
ankrETH/wstETH,mainnet,1217.263122168708066679379622,1843.262310842266175548879390,3789.32,1894.660
50wstETH-50LDO,mainnet,197.0489089782618557371238780,298.3848115476535353951205248,613.41,306.705
50rETH-50BADGER,mainnet,3156.727312407594813308877275,4780.130420940225408392732720,9826.84,4913.420
50rETH-50RPL,mainnet,405.0230284916481563212825013,613.3133172651701260693986260,1260.83,630.415
STG/USDC,mainnet,398.1421696365359655355287747,602.8938544860326181576210525,1239.41,619.705
ECLP-wstETH-wETH,mainnet,0E+6,0E+6,0.00,0.000
50wstETH-50ACX,mainnet,122.5319702004665757851494629,185.5462130006634462123453693,381.44,190.720
wstETH-WETH-BPT,polygon,0E-31,0E-31,0.00,0.000
ECLP-WMATIC-stMATIC,polygon,474.7995732905358342160688626,718.9736900031859688827166330,1591.32,795.660
ECLP-WMATIC-MATICX,polygon,121.2032040457491055069071546,183.5341052416196643538302482,406.22,203.110
stMATIC-WMATIC-BPT,polygon,0.7369699029909908192655720350,1.115969769944366527876423399,2.47,1.235
maticX-WMATIC-BPT,polygon,435.3821263738800459030426596,659.2851206479834336609537605,1459.21,729.605
