,chain,symbol,protocol_fees_collected,fees_to_vebal,fees_to_dao,total_bribes,aura_bribes,bal_bribes,pool_addr
0xade4a71bb62bec25154cfc7e6ff49a513b491e81000000000000000000000497,arbitrum,rETH-WETH-BPT,860.27,463.77,198.76,662.52,0,662.52,0xade4a71bb62bec25154cfc7e6ff49a513b491e81
0x9791d590788598535278552eecd4b211bfc790cb000000000000000000000498,arbitrum,wstETH-WETH-BPT,2286.57,1232.68,528.29,1760.96,690.43,1070.53,0x9791d590788598535278552eecd4b211bfc790cb
0x4a2f6ae7f3e5d715689530873ec35593dc28951b000000000000000000000481,arbitrum,wstETH/rETH/cbETH,3251.97,1753.12,751.34,2504.46,981.94,1522.52,0x4a2f6ae7f3e5d715689530873ec35593dc28951b
0x423a1323c871abc9d89eb06855bf5347048fc4a5000000000000000000000496,arbitrum,4POOL-BPT,447.85,241.43,103.47,344.90,0,344.90,0x423a1323c871abc9d89eb06855bf5347048fc4a5
0x32df62dc3aed2cd6224193052ce665dc181658410002000000000000000003bd,arbitrum,RDNT-WETH,18786.37,10127.62,4340.41,14468.03,5672.57,8795.46,0x32df62dc3aed2cd6224193052ce665dc18165841
0x0c8972437a38b389ec83d1e666b69b8a4fcf8bfd00000000000000000000049e,arbitrum,wstETH/rETH/sfrxETH,0.04,0.02,0.01,0.03,0,0.03,0x0c8972437a38b389ec83d1e666b69b8a4fcf8bfd
0xfd2620c9cfcec7d152467633b3b0ca338d3d78cc00000000000000000000001c,avalanche,sAVAX-WAVAX-BPT,2384.31,2337.13,1001.63,3338.76,1309.05,2029.71,0xfd2620c9cfcec7d152467633b3b0ca338d3d78cc
0xc13546b97b9b1b15372368dc06529d7191081f5b00000000000000000000001d,avalanche,ggAVAX-WAVAX-BPT,566.36,555.15,237.92,793.08,0,793.08,0xc13546b97b9b1b15372368dc06529d7191081f5b
0x9fa6ab3d78984a69e712730a2227f20bcc8b5ad900000000000000000000001f,avalanche,yyAVAX-WAVAX-BPT,545.26,534.47,229.06,763.53,0,763.53,0x9fa6ab3d78984a69e712730a2227f20bcc8b5ad9
0xb26f0e66317846bd5fe0cbaa1d269f0efeb05c9600000000000000000000001e,avalanche,USDC-USDT-BPT,180.77,177.19,75.94,253.13,0,253.13,0xb26f0e66317846bd5fe0cbaa1d269f0efeb05c96
0x55bec22f8f6c69137ceaf284d9b441db1b9bfedc000200000000000000000011,avalanche,BPT,0.00,0.00,0.00,0.00,0,0.00,0x55bec22f8f6c69137ceaf284d9b441db1b9bfedc
0xfb4c2e6e6e27b5b4a07a36360c89ede29bb3c9b6000000000000000000000026,base,cbETH/WETH,2714.33,2659.49,1139.78,3799.26,1489.60,2309.66,0xfb4c2e6e6e27b5b4a07a36360c89ede29bb3c9b6
0xc771c1a5905420daec317b154eb13e4198ba97d0000000000000000000000023,base,rETH-WETH-BPT,506.96,496.72,212.88,709.60,0,709.60,0xc771c1a5905420daec317b154eb13e4198ba97d0
0x0c659734f1eef9c63b7ebdf78a164cdd745586db000000000000000000000046,base,USDC/USDbC/axlUSDC,443.89,434.92,186.39,621.32,0,621.32,0x0c659734f1eef9c63b7ebdf78a164cdd745586db
0x93d199263632a4ef4bb438f1feb99e57b4b5f0bd0000000000000000000005c2,mainnet,wstETH-WETH-BPT,8467.25,5285.30,2265.13,7550.42,2960.34,4590.08,0x93d199263632a4ef4bb438f1feb99e57b4b5f0bd
0x1e19cf2d73a72ef1332c882f20534b6519be0276000200000000000000000112,mainnet,B-rETH-STABLE,15278.64,9537.00,4087.28,13624.28,5341.75,8282.53,0x1e19cf2d73a72ef1332c882f20534b6519be0276
0xe7e2c68d3b13d905bbb636709cf4dfd21076b9d20000000000000000000005ca,mainnet,swETH-WETH-BPT,3609.84,2253.28,965.69,3218.97,1262.08,1956.89,0xe7e2c68d3b13d905bbb636709cf4dfd21076b9d2
0xf7a826d47c8e02835d94fb0aa40f0cc9505cb1340002000000000000000005e0,mainnet,ECLP-wstETH-cbETH,200.91,125.41,53.75,179.16,0,179.16,0xf7a826d47c8e02835d94fb0aa40f0cc9505cb134
0xf16aee6a71af1a9bc8f56975a4c2705ca7a782bc0002000000000000000004bb,mainnet,20WETH-80ALCX,11959.40,7465.11,3199.33,10664.44,4181.27,6483.17,0xf16aee6a71af1a9bc8f56975a4c2705ca7a782bc
0xb08885e6026bab4333a80024ec25a1a3e1ff2b8a000200000000000000000445,mainnet,B-staFiETH-WETH-Stable,909.22,567.54,243.23,810.77,0,810.77,0xb08885e6026bab4333a80024ec25a1a3e1ff2b8a
0x8353157092ed8be69a9df8f95af097bbf33cb2af0000000000000000000005d9,mainnet,GHO/USDT/USDC,1463.98,913.82,391.64,1305.46,511.84,793.62,0x8353157092ed8be69a9df8f95af097bbf33cb2af
0xdfe6e7e18f6cc65fa13c8d8966013d4fda74b6ba000000000000000000000558,mainnet,ankrETH/wstETH,5511.71,3440.43,1474.47,4914.91,1927.02,2987.89,0xdfe6e7e18f6cc65fa13c8d8966013d4fda74b6ba
0x5f1f4e50ba51d723f12385a8a9606afc3a0555f5000200000000000000000465,mainnet,50wstETH-50LDO,764.84,477.42,204.61,682.02,0,682.02,0x5f1f4e50ba51d723f12385a8a9606afc3a0555f5
0x1ee442b5326009bb18f2f472d3e0061513d1a0ff000200000000000000000464,mainnet,50rETH-50BADGER,6939.33,4331.56,1856.38,6187.95,2426.15,3761.80,0x1ee442b5326009bb18f2f472d3e0061513d1a0ff
0x9f9d900462492d4c21e9523ca95a7cd86142f298000200000000000000000462,mainnet,50rETH-50RPL,1165.36,727.42,311.75,1039.18,0,1039.18,0x9f9d900462492d4c21e9523ca95a7cd86142f298
0x3ff3a210e57cfe679d9ad1e9ba6453a716c56a2e0002000000000000000005d5,mainnet,STG/USDC,5930.07,3701.58,1586.39,5287.97,2073.29,3214.68,0x3ff3a210e57cfe679d9ad1e9ba6453a716c56a2e
0xf01b0684c98cd7ada480bfdf6e43876422fa1fc10002000000000000000005de,mainnet,ECLP-wstETH-wETH,196.06,122.38,52.45,174.83,0,174.83,0xf01b0684c98cd7ada480bfdf6e43876422fa1fc1
