,gauge,chain,aura_automated_bribe,aura_actual_bribe,aura_bribe_delta,aura_bribe_delta_%,bal_automated_bribe,bal_actual_bribe,bal_bribe_delta,bal_bribe_delta_%
wstETH-WETH-BPT,0xb6d101874B975083C76598542946Fe047f059066,arbitrum,593.90,0.00,593.90,0%,899.33,1183.03,283.70,23.98%
B-rETH-STABLE,0x79eF6103A513951a3b25743DB509E267685726B7,mainnet,0.00,2944.03,2944.03,100.00%,0.00,5467.48,5467.48,100.00%
swETH-WETH-BPT,0xee01c0d9c0439c94D314a6ecAE0490989750746C,mainnet,1833.38,4953.73,3120.35,62.99%,2776.23,0.00,2776.23,0%
ECLP-wstETH-cbETH,0x4D4264aebf65Bb1727bb5438E0b2Aaf86186DA50,mainnet,0.00,0.00,0.00,0%,0.00,0.00,0.00,0%
20WETH-80ALCX,0x183D73dA7adC5011EC3C46e33BB50271e59EC976,mainnet,688.65,0.00,688.65,0%,1042.81,0.00,1042.81,0%
B-staFiETH-WETH-Stable,0x10a361766e64D7983a97202ac3a0F4cee06Eb717,mainnet,0.00,0.00,0.00,0%,0.00,0.00,0.00,0%
GHO/USDT/USDC,0xf720e9137baa9C7612e6CA59149a5057ab320cFa,mainnet,0.00,0.00,0.00,0%,0.00,0.00,0.00,0%
ankrETH/wstETH,0xbf65b3fA6c208762eD74e82d4AEfCDDfd0323648,mainnet,1260.72,0.00,1260.72,0%,1909.06,0.00,1909.06,0%
50wstETH-50LDO,0x95201B61EF19C867dA0D093DF20021e1a559452c,mainnet,204.08,0.00,204.08,0%,309.04,0.00,309.04,0%
50rETH-50BADGER,0x87012b0C3257423fD74a5986F81a0f1954C17a1d,mainnet,3269.41,1793.05,1476.36,82.34%,4950.76,3329.95,1620.81,48.67%
50rETH-50RPL,0x2C2179abce3413E27BDA6917f60ae37F96D01826,mainnet,419.48,0.00,419.48,0%,635.21,0.00,635.21,0%
ECLP-wstETH-wETH,0xdf54d2Dd06F8Be3B0c4FfC157bE54EC9cca91F3C,mainnet,0.00,0.00,0.00,0%,0.00,0.00,0.00,0%
ECLP-WMATIC-stMATIC,0xD103Dd49B8051A09B399A52E9A8aB629392dE2fb,polygon,474.80,1966.74,1491.94,75.86%,718.97,0.00,718.97,0%
ECLP-WMATIC-MATICX,0x82bcaD0C8F51D88ec339141F0d8953Bc25cc3d8c,polygon,121.20,0.00,121.20,0%,183.53,608.51,424.98,69.84%
stMATIC-WMATIC-BPT,0x6054A132020f48012C63D2cb83813327378F9423,polygon,0.74,0.00,0.74,0%,1.12,0.00,1.12,0%
maticX-WMATIC-BPT,0x9965713498c74aee49cEf80B2195461F188F24f8,polygon,435.38,0.00,435.38,0%,659.29,0.00,659.29,0%
rETH-WETH-BPT,0xd75026F8723b94d9a360A282080492d905c6A558,base,0.00,2819.01,2819.01,100.00%,0.00,4263.92,4263.92,100.00%
wstETH/rETH/cbETH,0x56c0626E6E3931af90EbB679A321225180d4b32B,arbitrum,461.01,0.00,461.01,0%,698.09,1165.80,467.71,40.12%
4POOL-BPT,0xBb1a15dfd849bc5a6F33C002999c8953aFA626Ad,arbitrum,110.69,0.00,110.69,0%,167.62,849.47,681.85,80.27%
RDNT-WETH,0x8135d6AbFd42707A87A7b94c5CFA3529f9b432AD,arbitrum,2643.32,2063.63,579.69,28.09%,4002.69,3121.37,881.32,28.24%
wstETH/rETH/sfrxETH,0x49f530b45Ae792CDF5Cbd5D25C5a9b9e59C6c3B8,arbitrum,0.00,0.00,0.00,0%,0.01,0.00,0.01,0%
bb-WETH-wstETH,0xf8C85bd74FeE26831336B51A90587145391a27Ba,gnosis,118.08,0.00,118.08,0%,178.80,299.00,120.20,40.20%
cbETH/WETH,0xefF145872582721e1b33931d61c3fE9C1ca66690,base,10899.48,7964.01,2935.47,36.86%,16504.73,12046.07,4458.66,37.01%
sAVAX-WAVAX-BPT,0x1e916950A659Da9813EE34479BFf04C732E03deb,avalanche,1021.00,1407.18,386.18,27.44%,1546.07,0.00,1546.07,0%
ggAVAX-WAVAX-BPT,0xa86e8e8CfAe8C9847fA9381d4631c13c7b3466bd,avalanche,173.67,1423.82,1250.15,87.80%,262.98,0.00,262.98,0%
yyAVAX-WAVAX-BPT,0x956074628A64a316086f7125074a8A52d3306321,avalanche,328.18,0.00,328.18,0%,496.95,581.00,84.05,14.47%
USDC-USDT-BPT,0xB95397A17ACbb5824535ebE69Cd9DCF8fA7aFC50,avalanche,50.75,1315.36,1264.61,96.14%,76.85,0.00,76.85,0%
BPT,0x40B4C2E260f803F868053789bD4A6C7Edd1cdc39,avalanche,0.00,0.00,0.00,0%,0.00,420.00,420.00,100.00%
