recipientGaugeAddr,pool,symbol,voteWeight,distribution,%distribution,boost,staticBoost,dynamicBoost,cap,withBonus
0x2eB5661002b68EBE887d29d415c3A3b52536912C,0x4a2F6Ae7F3e5D715689530873ec35593Dc28951B,wstETH/rETH/cbETH,1.4286954936199339,13000.0,20.0,1.7553734087442097,1.75,1.0053734087442094,20%,False
0xd6B875d62c2661eaB66472F36c672e4B512f1135,0xadE4A71BB62bEc25154CFc7e6ff49A513B491E81,rETH-WETH-BPT,1.1144248387802451,9663.883442142062,14.867512987910864,1.7520910579829194,1.75,1.0020910579829194,20%,False
0xcf9f895296F5e1D66a7D4dcf1d92e1B435E9f999,0x32dF62dc3aEd2cD6224193052Ce665DC18165841,RDNT-WETH,2.6430292660345147,6500.0,10.0,2.572007231647973,1.5,2.072007231647973,10%,False
0xd956246EA5b06DEa930F0A7feC1FFf000436e3f2,0x8bc65Eed474D1A00555825c91FeAb6A8255C2107,DOLA/USDC BPT,1.1013743694548022,6500.0,10.0,1.000526256325978,1.0,1.0005262563259778,10%,False
0x82d2c7B67Eaa5028c89BE86CeA8e1DF5bd2119A1,0xc7FA3A3527435720f0e2a4c1378335324dd4F9b3,55auraBal-45wsteth,0.8211843615287937,6500.0,10.0,1.005313085315557,1.0,1.005313085315557,10%,False
0x260cbb867359a1084eC97de4157d06ca74e89415,0x9791d590788598535278552EEcD4b211bFc790CB,wstETH-WETH-BPT,0.5974396507381975,4945.325304604973,7.608192776315343,1.765447266327393,1.75,1.015447266327393,20%,False
0xfC745035F31BCbaEb2D1a89aA9171495c671F6cE,0x3FD4954a851eaD144c2FF72B1f5a38Ea5976Bd54,ankrETH/wstETH-BPT,0.47150723400361483,4536.735399335453,6.979592922054542,1.754890392861661,1.75,1.0048903928616613,20%,False
0x011417BBED6FC9cefF36C032D431b0eFcBA7f8B3,0xc9f52540976385A84BF416903e1Ca3983c539E34,50tBTC-50WETH,0.4242084058548791,4281.578349824114,6.5870436151140215,1.0095101259221826,1.0,1.0095101259221828,10%,False
0x8F0B53F3BA19Ee31C0A73a6F6D84106340fadf5f,0x36bf227d6BaC96e2aB1EbB5492ECec69C691943f,B-wstETH-WETH-Stable,0.30896504221930726,3229.700966535726,4.968770717747271,2.3354306537513083,1.0,2.3354306537513083,10%,False
0xa14453084318277b11d38FbE05D857A4f647442B,0x423A1323c871aBC9d89EB06855bF5347048Fc4A5,4POOL-BPT,0.2817960017625343,12473.359671729428,3.805168725737582,1.0061953140657187,1.0,1.0061953140657187,10%,True
0xb438c6cc53315FfA3fcD1bc8b27d6c3155b0B56A,0x542F16DA0efB162D20bF4358EfA095B70A100f9E,2BTC,0.2264013223820868,2318.3494878181623,3.5666915197202496,1.0236778805343496,1.0,1.0236778805343494,10%,False
0x04fc019017eD3F921D5ec11fFf84B870744BA0d1,0xa231aEa07Bb5e79aE162f95903806FC5AD65fF11,50DFX-50WETH,0.09336948529185572,917.8181037725371,1.4120278519577494,1.0001696758270073,1.0,1.0001696758270073,10%,False
0xeF767E740D83d410794519c2F93Db32e44359a5C,0xb3028Ca124B80CFE6E9CA57B70eF2F0CCC41eBd4,50MAGIC-50USDC,0.012736375072008888,133.2492742375409,0.20499888344237063,695.2201590236336,1.0,695.2201590236336,10%,False
