recipientGaugeAddr,pool,symbol,voteWeight,distribution,%distribution,boost,staticBoost,dynamicBoost,cap,withBonus
0x2eB5661002b68EBE887d29d415c3A3b52536912C,0x4a2F6Ae7F3e5D715689530873ec35593Dc28951B,wstETH/rETH/cbETH,1.428709289861028,14000.0,20.0,1.7553903595604372,1.75,1.0053903595604372,20%,False
0xd6B875d62c2661eaB66472F36c672e4B512f1135,0xadE4A71BB62bEc25154CFc7e6ff49A513B491E81,rETH-WETH-BPT,1.1144290344463896,10404.329674661232,14.863328106658905,1.752097654380342,1.75,1.002097654380342,20%,False
0xcf9f895296F5e1D66a7D4dcf1d92e1B435E9f999,0x32dF62dc3aEd2cD6224193052Ce665DC18165841,RDNT-WETH,2.6465043735012364,7000.0,10.0,2.575388957930774,1.5,2.075388957930774,10%,False
0xd956246EA5b06DEa930F0A7feC1FFf000436e3f2,0x8bc65Eed474D1A00555825c91FeAb6A8255C2107,DOLA/USDC BPT,1.10137619690076,7000.0,10.0,1.000527916440571,1.0,1.000527916440571,10%,False
0x82d2c7B67Eaa5028c89BE86CeA8e1DF5bd2119A1,0xc7FA3A3527435720f0e2a4c1378335324dd4F9b3,55auraBal-45wsteth,0.8211980522668811,7000.0,10.0,1.005329845837057,1.0,1.005329845837057,10%,False
0x260cbb867359a1084eC97de4157d06ca74e89415,0x9791d590788598535278552EEcD4b211bFc790CB,wstETH-WETH-BPT,0.5974561411562126,5324.279123850608,7.606113034072297,1.7654959958741672,1.75,1.0154959958741672,20%,False
0xfC745035F31BCbaEb2D1a89aA9171495c671F6cE,0x3FD4954a851eaD144c2FF72B1f5a38Ea5976Bd54,ankrETH/wstETH-BPT,0.47151137898753787,4884.906915496588,6.978438450709412,1.7549058199684806,1.75,1.0049058199684804,20%,False
0x011417BBED6FC9cefF36C032D431b0eFcBA7f8B3,0xc9f52540976385A84BF416903e1Ca3983c539E34,50tBTC-50WETH,0.4242210123858665,4610.532183040751,6.586474547201073,1.009540126319414,1.0,1.0095401263194137,10%,False
0x8F0B53F3BA19Ee31C0A73a6F6D84106340fadf5f,0x36bf227d6BaC96e2aB1EbB5492ECec69C691943f,B-wstETH-WETH-Stable,0.3095223619858031,3484.201177560362,4.977430253657659,2.3396433687473692,1.0,2.3396433687473692,10%,False
0xa14453084318277b11d38FbE05D857A4f647442B,0x423A1323c871aBC9d89EB06855bF5347048Fc4A5,4POOL-BPT,0.28180147515514614,12662.920644317035,3.8041723490243364,1.0062148576432133,1.0,1.006214857643213,10%,True
0xb438c6cc53315FfA3fcD1bc8b27d6c3155b0B56A,0x542F16DA0efB162D20bF4358EfA095B70A100f9E,2BTC,0.22641784196974385,2496.594868494124,3.5665640978487483,1.0237525741637956,1.0,1.0237525741637954,10%,False
0x04fc019017eD3F921D5ec11fFf84B870744BA0d1,0xa231aEa07Bb5e79aE162f95903806FC5AD65fF11,50DFX-50WETH,0.09336953525985883,988.2924944129028,1.411846420589861,1.000170211081982,1.0,1.0001702110819821,10%,False
0xeF767E740D83d410794519c2F93Db32e44359a5C,0xb3028Ca124B80CFE6E9CA57B70eF2F0CCC41eBd4,50MAGIC-50USDC,0.01277649511981893,143.9429181663941,0.20563274023770584,697.4101279795442,1.0,697.4101279795442,10%,False
